id_diagnostico,sector,tamano_empresa,porcentaje_procesos_documentados,presupuesto_anual_tecnologia,respuesta_texto,nivel_madurez,recomendacion_principal
DIAG_0118,Tecnologia,Grande,0.94,390000000,Nuestros procesos se auditan solos con inteligencia de negocios.,Optimizado,Aplicar MLOps y analítica predictiva para optimizar el ciclo de vida del software.
DIAG_1065,Manufactura,Grande,0.9,458000000,Operamos con metodologías ágiles y sistemas integrados en la nube.,Optimizado,Implementar sensores IoT en maquinaria para mantenimiento predictivo automatizado.
DIAG_1392,Servicios,Mediana,0.34,31000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_2101,Retail,Mediana,0.53,124000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_1246,Servicios,Mediana,0.4,30000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_0962,Tecnologia,Micro,0.03,7000000,"El trabajo es muy empírico, no hay documentación de lo que hacemos. Nos gustaría mejorar pronto.",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados.
DIAG_2104,Servicios,Pequena,0.23,28000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_2459,Tecnologia,Micro,0.17,1000000,"No tenemos procesos definidos, usamos hojas de cálculo desordenadas.",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados.
DIAG_1492,Manufactura,Micro,0.13,9000000,"Todo es manual, dependemos de una sola persona para la contabilidad.",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas.
DIAG_1788,Tecnologia,Grande,0.35,19000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_1584,Servicios,Mediana,0.83,328000000,Operamos con metodologías ágiles y sistemas integrados en la nube.,Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
DIAG_2200,Servicios,Pequena,0.76,74000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_2449,Manufactura,Pequena,0.28,12000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_0072,Retail,Mediana,0.16,3000000,"No tenemos procesos definidos, usamos hojas de cálculo desordenadas. Nos gustaría mejorar pronto.",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas.
DIAG_2931,Servicios,Pequena,0.22,28000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_1007,Servicios,Grande,0.91,306000000,Operamos con metodologías ágiles y sistemas integrados en la nube. Nos gustaría mejorar pronto.,Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
DIAG_0499,Manufactura,Mediana,0.94,330000000,"Todo está automatizado, usamos datos para mejorar continuamente.",Optimizado,Implementar sensores IoT en maquinaria para mantenimiento predictivo automatizado.
DIAG_1105,Manufactura,Micro,0.11,2000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas.
DIAG_1414,Manufactura,Pequena,0.4,19000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_0120,Retail,Mediana,0.63,119000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0933,Manufactura,Pequena,0.36,10000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_2816,Tecnologia,Mediana,0.56,64000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_0199,Servicios,Mediana,0.73,64000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0281,Manufactura,Grande,0.73,115000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0189,Tecnologia,Mediana,0.32,37000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_2850,Manufactura,Grande,0.8,424000000,"Todo está automatizado, usamos datos para mejorar continuamente. Nos gustaría mejorar pronto.",Optimizado,Implementar sensores IoT en maquinaria para mantenimiento predictivo automatizado.
DIAG_2172,Servicios,Grande,0.41,34000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_2848,Retail,Mediana,0.62,63000000,Tenemos procesos estandarizados en la mayoría de áreas clave. Nos gustaría mejorar pronto.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_1207,Retail,Pequena,0.29,46000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_1828,Tecnologia,Micro,0.31,22000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_1237,Servicios,Micro,0.13,1000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios.
DIAG_1165,Tecnologia,Micro,0.4,39000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_1497,Servicios,Pequena,0.21,22000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_2321,Servicios,Pequena,0.44,17000000,Hay guías básicas pero no siempre se cumplen los estándares. Nos gustaría mejorar pronto.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_2525,Retail,Pequena,0.04,5000000,"No tenemos procesos definidos, usamos hojas de cálculo desordenadas.",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas.
DIAG_0362,Retail,Micro,0.1,6000000,"No tenemos procesos definidos, usamos hojas de cálculo desordenadas. Nos gustaría mejorar pronto.",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas.
DIAG_1290,Retail,Pequena,0.21,26000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0203,Retail,Pequena,0.66,79000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_1711,Tecnologia,Grande,0.44,19000000,Hay guías básicas pero no siempre se cumplen los estándares. Nos gustaría mejorar pronto.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_1816,Retail,Mediana,0.36,21000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_2450,Manufactura,Grande,0.5,79000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas. Nos gustaría mejorar pronto.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_2394,Retail,Micro,0.47,26000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_1398,Manufactura,Micro,0.46,30000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_1689,Retail,Micro,0.24,22000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0286,Servicios,Pequena,0.38,13000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía. Nos gustaría mejorar pronto.",En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_0545,Retail,Micro,0.14,7000000,"El trabajo es muy empírico, no hay documentación de lo que hacemos. Nos gustaría mejorar pronto.",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas.
DIAG_2910,Manufactura,Mediana,0.23,45000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_0562,Retail,Mediana,0.41,50000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0270,Servicios,Micro,0.49,14000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_2753,Retail,Grande,0.66,119000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0706,Retail,Micro,0.16,6000000,"El trabajo es muy empírico, no hay documentación de lo que hacemos.",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas.
DIAG_0277,Retail,Grande,0.9,471000000,"Todo está automatizado, usamos datos para mejorar continuamente.",Optimizado,Automatizar pronóstico de demanda con modelos predictivos en tiempo real.
DIAG_1573,Tecnologia,Micro,0.41,45000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía. Nos gustaría mejorar pronto.",En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_1097,Manufactura,Grande,0.37,37000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_2464,Retail,Pequena,0.5,50000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_2305,Retail,Micro,0.01,2000000,"Todo es manual, dependemos de una sola persona para la contabilidad.",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas.
DIAG_1468,Manufactura,Mediana,0.53,94000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0837,Tecnologia,Grande,0.62,145000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_0873,Manufactura,Grande,0.67,99000000,Usamos un ERP pero nos falta integración con la parte de ventas. Nos gustaría mejorar pronto.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_1201,Servicios,Mediana,0.16,5000000,Perdemos mucha información porque todo se anota en cuadernos. Nos gustaría mejorar pronto.,Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios.
DIAG_0243,Retail,Mediana,0.2,32000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_2887,Retail,Mediana,0.69,132000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_1353,Servicios,Micro,0.28,16000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_2937,Manufactura,Mediana,0.63,106000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0483,Tecnologia,Pequena,0.24,25000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_2835,Servicios,Micro,0.51,133000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0998,Retail,Pequena,0.61,84000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_2757,Retail,Micro,0.42,15000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_2881,Servicios,Pequena,0.8,116000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_2982,Servicios,Micro,0.37,37000000,Intentamos usar software básico pero el equipo no se adapta del todo. Nos gustaría mejorar pronto.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_0098,Manufactura,Grande,0.09,10000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas.
DIAG_2222,Tecnologia,Mediana,0.15,2000000,"El trabajo es muy empírico, no hay documentación de lo que hacemos. Nos gustaría mejorar pronto.",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados.
DIAG_1598,Tecnologia,Grande,0.4,36000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_1426,Tecnologia,Micro,0.12,3000000,"El trabajo es muy empírico, no hay documentación de lo que hacemos.",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados.
DIAG_1592,Tecnologia,Mediana,0.2,29000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0608,Tecnologia,Micro,0.08,9000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados.
DIAG_2546,Tecnologia,Mediana,0.05,2000000,"El trabajo es muy empírico, no hay documentación de lo que hacemos.",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados.
DIAG_0337,Servicios,Grande,0.85,327000000,El equipo es autónomo y la analítica nos guía en cada decisión. Nos gustaría mejorar pronto.,Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
DIAG_0617,Servicios,Grande,0.79,50000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_2588,Manufactura,Grande,0.53,54000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_2226,Manufactura,Grande,0.73,90000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0584,Manufactura,Grande,0.84,472000000,El equipo es autónomo y la analítica nos guía en cada decisión. Nos gustaría mejorar pronto.,Optimizado,Implementar sensores IoT en maquinaria para mantenimiento predictivo automatizado.
DIAG_0480,Retail,Pequena,0.25,20000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_2917,Retail,Pequena,0.72,80000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas. Nos gustaría mejorar pronto.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_1977,Tecnologia,Pequena,0.24,10000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0331,Tecnologia,Micro,0.3,14000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0052,Manufactura,Pequena,0.67,104000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0248,Retail,Grande,0.93,219000000,Nuestros procesos se auditan solos con inteligencia de negocios. Nos gustaría mejorar pronto.,Optimizado,Automatizar pronóstico de demanda con modelos predictivos en tiempo real.
DIAG_1245,Servicios,Pequena,0.47,31000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_0257,Tecnologia,Mediana,0.58,57000000,Documentamos todo y tenemos claridad de los roles y responsabilidades. Nos gustaría mejorar pronto.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_1550,Manufactura,Micro,0.79,66000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0848,Tecnologia,Grande,0.59,148000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_2145,Tecnologia,Micro,0.32,32000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_2501,Retail,Mediana,0.55,148000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas. Nos gustaría mejorar pronto.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0621,Manufactura,Mediana,0.44,18000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_0666,Tecnologia,Micro,0.15,4000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados.
DIAG_0858,Servicios,Micro,0.09,2000000,"El trabajo es muy empírico, no hay documentación de lo que hacemos.",Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios.
DIAG_0328,Retail,Grande,0.77,107000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_2443,Servicios,Mediana,0.72,103000000,Usamos un ERP pero nos falta integración con la parte de ventas. Nos gustaría mejorar pronto.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_2667,Retail,Grande,0.94,228000000,Nuestros procesos se auditan solos con inteligencia de negocios.,Optimizado,Automatizar pronóstico de demanda con modelos predictivos en tiempo real.
DIAG_1154,Tecnologia,Grande,0.92,372000000,Operamos con metodologías ágiles y sistemas integrados en la nube.,Optimizado,Aplicar MLOps y analítica predictiva para optimizar el ciclo de vida del software.
DIAG_1317,Servicios,Mediana,0.68,122000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_2157,Manufactura,Pequena,0.49,35000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_2633,Manufactura,Micro,0.04,8000000,"No tenemos procesos definidos, usamos hojas de cálculo desordenadas.",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas.
DIAG_2160,Servicios,Grande,0.82,169000000,"Todo está automatizado, usamos datos para mejorar continuamente.",Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
DIAG_0924,Retail,Micro,0.2,3000000,"El trabajo es muy empírico, no hay documentación de lo que hacemos.",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas.
DIAG_1059,Manufactura,Grande,0.91,298000000,El equipo es autónomo y la analítica nos guía en cada decisión.,Optimizado,Implementar sensores IoT en maquinaria para mantenimiento predictivo automatizado.
DIAG_0817,Manufactura,Mediana,0.21,34000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_2862,Servicios,Mediana,0.94,467000000,Nuestros procesos se auditan solos con inteligencia de negocios.,Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
DIAG_0795,Retail,Pequena,0.51,138000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_1070,Servicios,Grande,0.59,113000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0306,Servicios,Mediana,0.59,86000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_2515,Servicios,Micro,0.7,120000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0504,Manufactura,Micro,0.41,35000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_2735,Retail,Pequena,0.21,19000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0637,Tecnologia,Mediana,0.49,43000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía. Nos gustaría mejorar pronto.",En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0557,Manufactura,Mediana,0.14,8000000,"El trabajo es muy empírico, no hay documentación de lo que hacemos. Nos gustaría mejorar pronto.",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas.
DIAG_2805,Tecnologia,Mediana,0.96,366000000,"Todo está automatizado, usamos datos para mejorar continuamente. Nos gustaría mejorar pronto.",Optimizado,Aplicar MLOps y analítica predictiva para optimizar el ciclo de vida del software.
DIAG_1021,Tecnologia,Mediana,0.24,37000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_2771,Manufactura,Grande,0.56,101000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas. Nos gustaría mejorar pronto.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_2014,Tecnologia,Mediana,0.75,69000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_0429,Servicios,Grande,0.37,27000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_2847,Servicios,Grande,0.71,110000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_2169,Tecnologia,Pequena,0.31,19000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0468,Tecnologia,Pequena,0.16,1000000,"No tenemos procesos definidos, usamos hojas de cálculo desordenadas.",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados.
DIAG_2706,Retail,Mediana,0.26,14000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_1524,Manufactura,Micro,0.16,2000000,"Todo es manual, dependemos de una sola persona para la contabilidad.",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas.
DIAG_0768,Manufactura,Micro,0.16,10000000,"No tenemos procesos definidos, usamos hojas de cálculo desordenadas. Nos gustaría mejorar pronto.",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas.
DIAG_1517,Retail,Micro,0.22,25000000,"Tenemos algunos sistemas aislados, hay mucho desorden todavía.",En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_2498,Retail,Grande,0.99,373000000,Nuestros procesos se auditan solos con inteligencia de negocios. Nos gustaría mejorar pronto.,Optimizado,Automatizar pronóstico de demanda con modelos predictivos en tiempo real.
DIAG_2719,Tecnologia,Mediana,0.11,3000000,"No tenemos procesos definidos, usamos hojas de cálculo desordenadas.",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados.
DIAG_0394,Servicios,Grande,0.69,80000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_2000,Servicios,Micro,0.19,4000000,"El trabajo es muy empírico, no hay documentación de lo que hacemos.",Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios.
DIAG_0859,Manufactura,Mediana,0.1,4000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas.
DIAG_0411,Tecnologia,Mediana,0.97,466000000,Operamos con metodologías ágiles y sistemas integrados en la nube. Nos gustaría mejorar pronto.,Optimizado,Aplicar MLOps y analítica predictiva para optimizar el ciclo de vida del software.
DIAG_2293,Retail,Mediana,0.62,124000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_2289,Manufactura,Micro,0.19,4000000,"El trabajo es muy empírico, no hay documentación de lo que hacemos.",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas.
DIAG_1776,Manufactura,Mediana,0.77,97000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_1346,Tecnologia,Grande,0.8,93000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_2555,Servicios,Mediana,0.95,475000000,"Todo está automatizado, usamos datos para mejorar continuamente.",Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
DIAG_0833,Servicios,Grande,0.24,22000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_0105,Manufactura,Grande,0.61,108000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0560,Servicios,Mediana,0.72,133000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_2232,Retail,Mediana,0.84,404000000,Operamos con metodologías ágiles y sistemas integrados en la nube.,Optimizado,Automatizar pronóstico de demanda con modelos predictivos en tiempo real.
DIAG_1759,Manufactura,Mediana,0.73,93000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_1854,Retail,Pequena,0.5,103000000,Documentamos todo y tenemos claridad de los roles y responsabilidades. Nos gustaría mejorar pronto.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0826,Retail,Pequena,0.41,43000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0054,Retail,Grande,0.51,96000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0732,Manufactura,Grande,0.85,440000000,Operamos con metodologías ágiles y sistemas integrados en la nube. Nos gustaría mejorar pronto.,Optimizado,Implementar sensores IoT en maquinaria para mantenimiento predictivo automatizado.
DIAG_1052,Retail,Micro,0.75,147000000,Tenemos procesos estandarizados en la mayoría de áreas clave. Nos gustaría mejorar pronto.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0216,Servicios,Pequena,0.38,42000000,Intentamos usar software básico pero el equipo no se adapta del todo. Nos gustaría mejorar pronto.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
